team,goals
Total,139481
England,2334
Brazil,2269
Germany,2250
Sweden,2111
Hungary,1984
Argentina,1977
Netherlands,1766
South Korea,1761
Mexico,1723
France,1646
Spain,1540
Denmark,1518
Uruguay,1509
Italy,1498
Austria,1488
Belgium,1477
Poland,1465
Scotland,1420
Japan,1411
Malaysia,1330
Thailand,1329
China PR,1306
Norway,1289
Switzerland,1277
Russia,1250
Trinidad and Tobago,1230
Zambia,1225
Romania,1200
Indonesia,1187
Costa Rica,1185
Egypt,1184
Portugal,1179
Chile,1149
United States,1145
Australia,1138
Iran,1122
Saudi Arabia,1099
Kuwait,1041
Ghana,1038
Ivory Coast,1003
Uganda,999
Bulgaria,992
Paraguay,979
Iraq,979
Nigeria,955
Kenya,954
Yugoslavia,941
Finland,936
Tunisia,931
Czechoslovakia,928
Singapore,903
Algeria,881
Wales,876
Honduras,876
Qatar,866
Turkey,857
Cameroon,848
Peru,846
Jamaica,843
United Arab Emirates,834
Morocco,833
Republic of Ireland,832
Senegal,825
Colombia,785
Myanmar,785
Haiti,783
Greece,757
El Salvador,743
DR Congo,742
Guatemala,741
Malawi,738
Mali,724
Israel,722
Suriname,721
India,721
Northern Ireland,716
Guinea,709
Bahrain,702
Ecuador,697
New Caledonia,686
New Zealand,686
Oman,678
Syria,661
Tahiti,652
Croatia,647
Tanzania,642
Zimbabwe,639
Jersey,639
Panama,634
Czech Republic,620
Guernsey,616
North Korea,611
South Africa,610
Iceland,601
Hong Kong,600
Fiji,595
Curaçao,590
Uzbekistan,588
Martinique,580
Jordan,569
Canada,565
Ethiopia,536
Burkina Faso,535
Latvia,531
Estonia,526
Bolivia,524
Congo,524
Serbia,512
Cuba,512
German DR,506
Sudan,498
Slovakia,492
Libya,486
Togo,473
Venezuela,462
Vietnam,450
Guadeloupe,448
Angola,447
Gabon,446
Solomon Islands,446
Ukraine,445
Lithuania,418
Madagascar,415
Mauritius,408
Grenada,397
Guyana,393
Vanuatu,387
Philippines,380
Slovenia,373
Mozambique,364
Vietnam Republic,364
Barbados,364
Albania,360
Lebanon,360
Bosnia and Herzegovina,359
Saint Kitts and Nevis,353
Georgia,351
Cyprus,350
North Macedonia,341
Belarus,335
Benin,333
Saint Vincent and the Grenadines,329
Papua New Guinea,320
Saint Lucia,316
Cambodia,308
Palestine,308
Antigua and Barbuda,303
Bermuda,296
Kazakhstan,292
Taiwan,290
Luxembourg,289
Malta,283
Rwanda,276
Sierra Leone,274
Tajikistan,273
Maldives,269
Bangladesh,261
Namibia,261
French Guiana,260
Botswana,257
Armenia,255
Turkmenistan,250
Liberia,250
Gambia,248
Dominica,238
Yemen,231
Cape Verde,231
Niger,228
Burundi,227
Sri Lanka,225
Moldova,225
Eswatini,224
Pakistan,224
Nicaragua,222
Azerbaijan,222
Nepal,222
Lesotho,221
Faroe Islands,220
Réunion,219
Dominican Republic,218
Laos,213
Kyrgyzstan,206
Zanzibar,187
Mauritania,185
Puerto Rico,183
Aruba,180
Guinea-Bissau,179
Montenegro,178
Isle of Man,163
Gibraltar,160
Basque Country,156
Greenland,145
Equatorial Guinea,140
Central African Republic,139
Afghanistan,138
Seychelles,135
Guam,129
Ynys Môn,123
Padania,120
Kosovo,114
Mongolia,114
Isle of Wight,113
Macau,111
Belize,109
Chad,108
Comoros,108
Cayman Islands,105
Occitania,103
Brunei,100
Liechtenstein,98
Northern Cyprus,98
Shetland,97
British Virgin Islands,96
Samoa,92
Sápmi,90
Saint Martin,84
Gotland,81
Åland Islands,77
Tonga,77
Catalonia,75
Sint Maarten,75
Djibouti,73
Alderney,73
Montserrat,68
Andorra,68
Western Australia,63
Bahamas,63
Iraqi Kurdistan,61
Timor-Leste,60
Somalia,60
Frøya,59
Bhutan,58
Tamil Eelam,58
Menorca,56
Székely Land,56
Ellan Vannin,54
Panjab,54
Bonaire,53
Mayotte,51
Abkhazia,51
São Tomé and Príncipe,49
North Vietnam,49
Western Isles,48
Eritrea,48
Provence,47
Turks and Caicos Islands,46
Tuvalu,45
Raetia,43
Cook Islands,42
South Sudan,42
Anguilla,42
Monaco,41
Saare County,41
United States Virgin Islands,40
South Ossetia,35
Western Armenia,34
San Marino,33
Kernow,32
Artsakh,32
American Samoa,31
Falkland Islands,31
Rhodes,29
Gozo,28
Chagos Islands,28
Orkney,28
Yorkshire,27
Northern Mariana Islands,27
Sealand,27
Saint Barthélemy,25
Kárpátalja,25
Andalusia,25
Yemen DPR,25
Silesia,24
Hitra,24
Wallis Islands and Futuna,23
Cascadia,23
United Koreans in Japan,20
County of Nice,19
Galicia,19
Brittany,18
Arameans Suryoye,16
Barawa,16
Somaliland,14
Tibet,14
Felvidék,14
Chameria,14
Burma,14
Romani people,13
Parishes of Jersey,11
Canary Islands,11
Western Sahara,11
Saarland,10
Corsica,10
Republic of St. Pauli,10
Luhansk PR,9
Micronesia,8
Franconia,8
Donetsk PR,8
Kabylia,8
Kiribati,7
Matabeleland,7
Crimea,7
Saint Helena,6
Hmong,6
Elba Island,5
Vatican City,4
Délvidék,4
Palau,4
Surrey,3
Asturias,3
Ambazonia,3
Mapuche,3
Chechnya,3
Two Sicilies,3
Biafra,2
Central Spain,2
Western Samoa,2
Saint Pierre and Miquelon,2
Ticino,2
Malaya,2
Seborga,2
Găgăuzia,2
Maule Sur,2
Yoruba Nation,1
West Papua,1
Aymara,1
Saugeais,1
Madrid,1
South Yemen,1
Darfur,1
Sark,0
Ryūkyū,0
Niue,0
Manchukuo,0
East Timor,0
Cilento,0
